ItemNo,Item Status,ItemName,Material,PatentInfo,CatalogDescription,MaterialDescPatent,ColorList,CatalogSize,ImprintTextAll,PackagingAndWeight,PackagingDetails,CatalogWeight,Disclaimers,Batteries,CatalogRuncharges,PriceQtyCol1,PriceQtyCol2,PriceQtyCol3,PriceQtyCol4,PriceQtyCol5,PriceUSCol1,PriceUSCol2,PriceUSCol3,PriceUSCol4,PriceUSCol5
SM-3127,Inline,Soundz Desk Calculator,Polystyrene,,Large desktop calculator with on/off sound function. 8-digit display screen.,Polystyrene. Large desktop calculator with on/off sound function. 8-digit display screen.,"Black, Lime Green, Red or Royal Blue","6.5"" H x 4.25"" W x 1.25"" L","ColorPrint centered on bottom: 1/2"" H x 2-1/4"" W (default imprint area)
ColorPrint centered on top: 1/2"" H x 2-1/4"" W","Individually gift boxed / 22 lbs. per case of 50
Run Charge: Level 3",Individually gift boxed,Individually gift boxed / 22 lbs. per case of 50,,Button Cell batteries included and inserted, Level 3,100,300,500,750,1000,5.77 ,5.58 ,5.38 ,5.19 ,4.99 
SM-3128,Inline,Monroe Desk Calculator,ABS Plastic,,Dual-power 8-digit calculator.,ABS Plastic. Dual-power 8-digit calculator.,Silver,"5.813"" H x 4.5"" W x .5"" L","ColorPrint: 3/4"" H x 1-3/4"" W (1 color only)","Individually gift boxed / 22 lbs. per case of 80
Run Charge: Level 3",Individually gift boxed,Individually gift boxed / 22 lbs. per case of 80,,Button cell batteries included and inserted, Level 3,100,300,500,750,1000,5.30 ,4.97 ,4.64 ,4.32 ,3.99 
SM-3131,New,Thumbs Up Stress Reliever,Polyurethane,,Squeezable foam.,Polyurethane. Squeezable foam.,White,"3"" H x 1.5"" W x 3"" L","ColorPrint: 3/4"" H x 1"" W (one side 1 color only)","Bulk Packed / 31 lbs. per case of 250
",Bulk Packed,Bulk Packed / 31 lbs. per case of 250,,,,300,775,1250,1875,2500,1.75 ,1.58 ,1.42 ,1.25 ,1.09 
SM-3132,Inline,The Goga Calculator,ABS Plastic,,Calculator with 8-digit display.,ABS Plastic. Calculator with 8-digit display.,Black or White,"4.5"" H x 2.25"" W x .375"" L","ColorPrint: 1/4"" H x 1-1/4"" W (1 color only)","Individually gift boxed / 22 lbs. per case of 200
Run Charge: Level 3",Individually gift boxed,Individually gift boxed / 22 lbs. per case of 200,,Button cell batteries included and inserted, Level 3,150,450,750,1125,1500,2.88 ,2.66 ,2.43 ,2.21 ,1.99 
SM-3133,New,@ Stress Reliever,Polyurethane,,Squeezable foam with @ symbol pre-printed on one side.,Polyurethane. Squeezable foam with @ symbol pre-printed on one side.,White w/ Black Trim,"2.75"" D","ColorPrint (1-3/4"" Dia.)","Bulk Packed / 0 lbs. per case of 200
Run Charge: Level 1",Bulk Packed,Bulk Packed / 0 lbs. per case of 200,,, Level 1,400,1200,2000,3000,4000,1.62 ,1.46 ,1.30 ,1.15 ,0.99 
SM-3135,New,Tennis Ball Stress Reliever,Polyurethane,,Squeezable foam.,Polyurethane. Squeezable foam.,Yellow,"2.5"" D","ColorPrint per side: 3/4"" H x 1-1/2"" W","Bulk Packed / 0 lbs. per case of 200
Run Charge: Level 1",Bulk Packed,Bulk Packed / 0 lbs. per case of 200,,, Level 1,350,800,1250,1875,2500,1.49 ,1.34 ,1.19 ,1.04 ,0.89 
SM-3150,Inline,12-Inch Solid Ruler,Plastic,,12-inch ruler includes inch and metric scales.,Plastic. 12-inch ruler includes inch and metric scales.,"Black, Gray, Lime Green, Navy Blue, Orange, Purple, Red, Royal Blue, White or Yellow","1.562"" W x 12.375"" L","ColorPrint: 3/4"" H x 3-1/2"" W (1 color only)","Bulk Packed / 13 lbs. per case of 200
",Bulk Packed,Bulk Packed / 13 lbs. per case of 200,,,,400,1200,2000,3000,4000,1.13 ,1.04 ,0.94 ,0.85 ,0.75 
SM-3151,Inline,12-Inch Flexi-Ruler,PVC,,12-inch flexible ruler includes inch and metric scales.,PVC. 12-inch flexible ruler includes inch and metric scales.,"Clear, Translucent Aqua Blue, Translucent Black, Translucent Blue, Translucent Lime Green, Translucent Orange, Translucent Pink, Translucent Purple, Translucent Red or Translucent Yellow","1.5"" W x 12.5"" L","ColorPrint: 1/2"" H x 3-1/2"" W (1 color only)","Bulk Packed / 13 lbs. per case of 200
",Bulk Packed,Bulk Packed / 13 lbs. per case of 200,,,,400,1200,2000,3000,4000,1.31 ,1.19 ,1.08 ,0.96 ,0.85 
SM-3159,Inline,Magnetic Bookmark,Magnet,,Mark a page in a book or in a file with this magnetic page marker.,Magnet. Mark a page in a book or in a file with this magnetic page marker.,"Black, Lime Green, Orange, Purple, Red, Royal Blue, White or Yellow",".062"" H x .75"" W x 2.312"" L","ColorPrint: 3/8"" H x 1-1/2"" W (1 color only)","Bulk Packed / 36 lbs. per case of 2200
Run Charge: Level 3",Bulk Packed,Bulk Packed / 36 lbs. per case of 2200,,, Level 3,500,1500,2500,3750,5000,0.85 ,0.78 ,0.70 ,0.63 ,0.55 
SM-3160,New,The Memo Clip with Bottle Opener,ABS Plastic,,Multi-function magnetic memo clip holder with bottle opener.,ABS Plastic. Multi-function magnetic memo clip holder with bottle opener.,"Black, White w/ Black Trim, White w/ Lime Green Trim, White w/ Red Trim or White w/ Royal Blue Trim","1.25"" H x 1.375"" W x 3"" L","ColorPrint: 5/8"" H x 1-3/8"" W","Individually polybagged / 0 lbs. per case of 250
Run Charge: Level 2",Individually polybagged,Individually polybagged / 0 lbs. per case of 250,,, Level 2,300,775,1250,1875,2500,1.71 ,1.63 ,1.55 ,1.47 ,1.39 
SM-3165,Inline,Star Memo Clip,Plastic,,Magnetic memo clip holder.,Plastic. Magnetic memo clip holder.,"Translucent Lime Green, Translucent Red, Translucent Royal Blue or Translucent Yellow","1.375"" H x 3.5"" W x 3.5"" L","ColorPrint: 1"" H x 1-1/2"" W","Individually polybagged / 24 lbs. per case of 250
Run Charge: Level 2",Individually polybagged,Individually polybagged / 24 lbs. per case of 250,,, Level 2,300,775,1250,1875,2500,1.42 ,1.31 ,1.21 ,1.10 ,0.99 
SM-3166,Inline,House Memo Clip,Plastic,,Magnetic memo clip holder.,Plastic. Magnetic memo clip holder.,"Translucent Lime Green, Translucent Red, Translucent Royal Blue or White","1.375"" H x 2.438"" W x 2.5"" L","ColorPrint: 1"" H x 1-1/2"" W","Individually polybagged / 31 lbs. per case of 250
Run Charge: Level 2",Individually polybagged,Individually polybagged / 31 lbs. per case of 250,,, Level 2,300,775,1250,1875,2500,1.40 ,1.30 ,1.19 ,1.09 ,0.99 
SM-3167,Inline,Rectangle Memo Clip,Plastic,,Magnetic memo clip holder.,Plastic. Magnetic memo clip holder.,"Translucent Lime Green, Translucent Purple, Translucent Red or Translucent Royal Blue","1.5"" H x 2"" W x 2.75"" L","ColorPrint: 1"" H x 1-1/2"" W","Individually polybagged / 24 lbs. per case of 250
Run Charge: Level 2",Individually polybagged,Individually polybagged / 24 lbs. per case of 250,,, Level 2,300,775,1250,1875,2500,1.41 ,1.30 ,1.20 ,1.09 ,0.99 
SM-3185,Inline,Recycled Desktop Set,Recycled Cardboard,,"Set includes 2 sticky notepads with 120 pages, 120 sticky note flags in 5 colors, ruler and ballpoint pen.","Recycled Cardboard. Set includes 2 sticky notepads with 120 pages, 120 sticky note flags in 5 colors, ruler and ballpoint pen.","Black, Natural, Navy Blue or Red","6.25"" H x 2.5"" W","ColorPrint: 1-3/8"" H x 3-1/2"" W (1 color only)
ColorPrint: 1-3/8"" H x 2-1/2"" W (multi-color)","Bulk Packed / 25 lbs. per case of 50
Run Charge: Level 3
Pen imprint not available.",Bulk Packed,Bulk Packed / 25 lbs. per case of 50,Pen imprint not available.,, Level 3,250,625,1000,1500,2000,2.82 ,2.74 ,2.65 ,2.57 ,2.49 
SM-3186,Inline,Magnifying Glass with Sticky Notes,Plastic,,Desktop set with magnifier and ruler.  Includes 25 sticky flags in 4 colors and sticky notepad with 25 pages.,Plastic. Desktop set with magnifier and ruler.  Includes 25 sticky flags in 4 colors and sticky notepad with 25 pages.,"Translucent Black, Translucent Lime Green, Translucent Red or Translucent Royal Blue",".375"" H x 2.188"" W x 5.125"" L","ColorPrint: 1"" H x 2-1/2"" W (1 color only)
ColorBLAST: 1"" H x 2-1/2"" W (multi-color)","Bulk Packed / 25 lbs. per case of 250
Run Charge: Level 1",Bulk Packed,Bulk Packed / 25 lbs. per case of 250,,, Level 1,350,800,1250,1875,2500,1.72 ,1.54 ,1.36 ,1.17 ,0.99 
SM-3187,Inline,Memo Clip with Sticky Flags,Plastic,,Magnetic memo clip with 25 sticky note flags in 4 colors.,Plastic. Magnetic memo clip with 25 sticky note flags in 4 colors.,"Clear, Translucent Black, Translucent Lime Green, Translucent Orange, Translucent Purple, Translucent Red or Translucent Royal Blue","1.5"" H x 3"" W x 2.25"" L","ColorPrint: 1-1/8"" H x 1-1/2"" W","Individually polybagged / 30 lbs. per case of 200
Run Charge: Level 2",Individually polybagged,Individually polybagged / 30 lbs. per case of 200,,, Level 2,350,800,1250,1875,2500,1.53 ,1.40 ,1.26 ,1.13 ,0.99 
SM-3188,Inline,Spiral Sticky Memo,Paper,,"Booklet includes 25 sticky notes in 5 colors, a sticky notepad with 25 pages and 40 pages of lined, white paper.  Cover includes ruler.","Paper. Booklet includes 25 sticky notes in 5 colors, a sticky notepad with 25 pages and 40 pages of lined, white paper.  Cover includes ruler.","Black, Natural, Red or Royal Blue","5.25"" H x 2.062"" W","ColorPrint: 1"" H x 2-1/2"" W","Bulked Packed / 31 lbs. per case of 300
Run Charge: Level 3",Bulked Packed,Bulked Packed / 31 lbs. per case of 300,,, Level 3,300,775,1250,1875,2500,1.51 ,1.38 ,1.25 ,1.12 ,0.99 
SM-3194,Inline,The Look Book,Paper,,Booklet includes 25 sheets of sticky flags in 5 colors and a mirror.,Paper. Booklet includes 25 sheets of sticky flags in 5 colors and a mirror.,"Natural, Navy Blue, Red or White","3.25"" H x 2.125"" W","ColorPrint: 1-1/2"" H x 1-3/8"" W","Bulk Packed / 37 lbs. per case of 800
Run Charge: Level 3",Bulk Packed,Bulk Packed / 37 lbs. per case of 800,,, Level 3,375,800,1250,1875,2500,1.39 ,1.24 ,1.09 ,0.94 ,0.79 
SM-3196,Inline,Stick-N-Clip,Plastic,,Clear case includes 25 sheets of sticky flags in 4 colors and 20 paper clips in assorted colors.,Plastic. Clear case includes 25 sheets of sticky flags in 4 colors and 20 paper clips in assorted colors.,Clear,".75"" H x 3"" W x 3"" L","ColorPrint: 1-1/2"" H x 1-1/2"" W","Bulk Packed / 33 lbs. per case of 400
Run Charge: Level 3",Bulk Packed,Bulk Packed / 33 lbs. per case of 400,,, Level 3,350,800,1250,1875,2500,1.52 ,1.39 ,1.26 ,1.12 ,0.99 
SM-3199,Inline,Deluxe Mobile Phone Holder,Plastic,,Desktop mobile phone holder with folding stand.  Includes removable soft rubber stylus/screen cleaner combo for touchscreen devices.,Plastic. Desktop mobile phone holder with folding stand.  Includes removable soft rubber stylus/screen cleaner combo for touchscreen devices.,"White w/ Black Trim, White w/ Lime Green Trim, White w/ Orange Trim, White w/ Red Trim or White w/ Royal Blue Trim","3"" H x .5"" W x 5.5"" L","ColorPrint: 1/2"" H x 2"" W (1 color only)
ColorBLAST: 1/2"" H x 2"" W (multi-color)","Bulk Packed / 31 lbs. per case of 250
Run Charge: Level 1
Media device not included.",Bulk Packed,Bulk Packed / 31 lbs. per case of 250,Media device not included.,, Level 1,250,625,1000,1500,2000,2.72 ,2.49 ,2.25 ,2.02 ,1.79 
SM-3202,Inline,Business Card Holder with Sticky Notes,Paper,,"Booklet includes sticky flags in 5 colors (25pgs/ea), 2-3/4"" x 1-13/16"" sticky memo pad (25 pgs) and business card pocket with elastic closure. ","Paper. Booklet includes sticky flags in 5 colors (25pgs/ea), 2-3/4"" x 1-13/16"" sticky memo pad (25 pgs) and business card pocket with elastic closure. ","Black, Natural, Red, Royal Blue or White","4.125"" H x 3.062"" W","ColorPrint: 2"" H x 1-1/2"" W","Bulk Packed / 33 lbs. per case of 600
Run Charge: Level 3",Bulk Packed,Bulk Packed / 33 lbs. per case of 600,,, Level 3,325,775,1250,1875,2500,1.39 ,1.27 ,1.14 ,1.02 ,0.89 
SM-3203,Inline,Puzzle Sticky Notes,Paper,,Puzzle shaped sticky notes in assorted colors (100 pages per piece). Recyclable. Non-refillable.,Paper. Puzzle shaped sticky notes in assorted colors (100 pages per piece). Recyclable. Non-refillable.,Natural,"4.188"" H x 3.625"" W","ColorPrint: 2-1/4"" H x 2-1/2"" W (1 color only)
ColorPrint: 2"" H x 2-1/4"" W (multi-color)","Bulk Packed / 37 lbs. per case of 240
Run Charge: Level 3",Bulk Packed,Bulk Packed / 37 lbs. per case of 240,,, Level 3,250,625,1000,1500,2000,3.09 ,2.81 ,2.54 ,2.26 ,1.99 
SM-3205,Inline,Spiral Sticky Notes,Paper,,"Hard cover spiral-bound booklet includes 25 sticky note flags in 5 colors and 3"" x 2"" sticky memo pads in 3 colors (20 pages per color).","Paper. Hard cover spiral-bound booklet includes 25 sticky note flags in 5 colors and 3"" x 2"" sticky memo pads in 3 colors (20 pages per color).","Black, Natural, Red, Royal Blue or White","3.188"" H x 2.75"" W","ColorPrint: 1-1/2"" H x 2"" W","Bulk Packed / 20 lbs. per case of 200
Run Charge: Level 3",Bulk Packed,Bulk Packed / 20 lbs. per case of 200,,, Level 3,250,625,1000,1500,2000,1.74 ,1.60 ,1.47 ,1.33 ,1.19 
SM-3206,Inline,Super Sticky Notes Booklet,Paper,,"Hard cover jotter-style booklet includes 25 sheets of sticky flags in 5 colors, 25-page 3"" x 2"" yellow sticky memo pad and 50-page 4"" x 3"" yellow sticky memo pad with elastic closure.","Paper. Hard cover jotter-style booklet includes 25 sheets of sticky flags in 5 colors, 25-page 3"" x 2"" yellow sticky memo pad and 50-page 4"" x 3"" yellow sticky memo pad with elastic closure.","Black, Natural, Red or White","4.438"" H x 3.188"" W","ColorPrint: 2"" H x 2-3/8"" W","Bulk Packed / 22 lbs. per case of 150
Run Charge: Level 3",Bulk Packed,Bulk Packed / 22 lbs. per case of 150,,, Level 3,350,800,1250,1875,2500,1.70 ,1.53 ,1.35 ,1.17 ,0.99 
SM-3207,Inline,Hold That! Mobile Phone Holder,PVC,,"Flexible mobile device holder includes a wide opening for any portable device up to 2-3/4"" wide. Item size 2""H x 3-3/4""W x 2-9/16""L (when assembled).","PVC. Flexible mobile device holder includes a wide opening for any portable device up to 2-3/4"" wide. Item size 2""H x 3-3/4""W x 2-9/16""L (when assembled).","Black, Blue, Lime Green, Orange, Red or White",".125"" H x 3.75"" W x 6.875"" L","ColorPrint on front: 3/4"" H x 2"" W (default imprint area)
ColorPrint on back: 1/2"" H x 1-1/2"" W","Bulk Packed / 24 lbs. per case of 200
Run Charge: Level 3
Item ships flat. Media device not included.",Bulk Packed,Bulk Packed / 24 lbs. per case of 200,Item ships flat. Media device not included.,, Level 3,300,775,1250,1875,2500,1.39 ,1.26 ,1.14 ,1.01 ,0.89 
SM-3208,Inline,Deskpad with Sticky Notes,Paper,,Hard cover notepad with 100 white pages and 6 assorted color sticky flags (25 sheets). Recyclable. Non-refillable.,Paper. Hard cover notepad with 100 white pages and 6 assorted color sticky flags (25 sheets). Recyclable. Non-refillable.,"Natural, Navy Blue, Red or White","5.812"" H x 4"" W","ColorPrint: 1-1/2"" H x 3"" W","Bulk Packed / 23 lbs. per case of 100
Run Charge: Level 3",Bulk Packed,Bulk Packed / 23 lbs. per case of 100,,, Level 3,250,625,1000,1500,2000,2.10 ,1.92 ,1.74 ,1.57 ,1.39 
SM-3209,Inline,Flip Mobile Phone Holder,Plastic,,Desktop mobile phone holder with folding stand.,Plastic. Desktop mobile phone holder with folding stand.,"White w/ Black Trim, White w/ Blue Trim, White w/ Lime Green Trim, White w/ Orange Trim, White w/ Red Trim or White w/ Yellow Trim","3"" H x 2.375"" W x 4.75"" L","ColorPrint: 7/8"" H x 2"" W (1 color only)
ColorBLAST: 7/8"" H x 2"" W (multi-color)","Bulk Packed / 25 lbs. per case of 250
Run Charge: Level 1
Media device not included.",Bulk Packed,Bulk Packed / 25 lbs. per case of 250,Media device not included.,, Level 1,250,625,1000,1500,2000,1.78 ,1.63 ,1.48 ,1.34 ,1.19 
SM-3213,Inline,The Bug Mini Stapler,Plastic,,Includes staple remover on back and standard staples.,Plastic. Includes staple remover on back and standard staples.,Silver or Translucent Blue,"2.625"" H x 1.125"" W x 1.625"" L","ColorPrint: 5/8"" H x 1-1/2"" W","Bulk Packed / 28 lbs. per case of 250
Run Charge: Level 3",Bulk Packed,Bulk Packed / 28 lbs. per case of 250,,, Level 3,250,625,1000,1500,2000,1.93 ,1.77 ,1.61 ,1.45 ,1.29 
SM-3215,Inline,Mini Stapler,Plastic,"US Patent #D478,797 S",Includes staple remover. Staple storage compartment and matching color staples.,Plastic. Includes staple remover. Staple storage compartment and matching color staples.,"Translucent Blue, Translucent Green or Translucent Red","2.812"" H x 1.062"" W x 1.875"" L","ColorPrint: 5/8"" H x 1-1/2"" W","Bulk Packed / 25 lbs. per case of 250
Run Charge: Level 3",Bulk Packed,Bulk Packed / 25 lbs. per case of 250,,, Level 3,200,475,750,1125,1500,1.96 ,1.81 ,1.67 ,1.53 ,1.39 
SM-3218,Inline,Full Size Stand-Up Stapler,Plastic,,Rubberized grips. Includes standard staples.,Plastic. Rubberized grips. Includes standard staples.,Translucent Blue,"5.875"" H x 1.25"" W x 3.375"" L","ColorPrint front: 1-1/2"" H x 3/4"" W (default imprint area)
ColorPrint back: 2"" H x 3/4"" W","Individually gift boxed / 29 lbs. per case of 48
Run Charge: Level 3",Individually gift boxed,Individually gift boxed / 29 lbs. per case of 48,,, Level 3,100,300,500,750,1000,4.62 ,4.21 ,3.79 ,3.37 ,2.95 
SM-3228,Inline,Home Sweet Home Memo Clip,Plastic,,"Magnetic memo clip with 30-page 2-1/2"" x 2-1/4"" yellow sticky memo pad. Non-refillable.","Plastic. Magnetic memo clip with 30-page 2-1/2"" x 2-1/4"" yellow sticky memo pad. Non-refillable.","Translucent Black, Translucent Blue, Translucent Green, Translucent Red or White","2.875"" H x 2.812"" W x 1.75"" L","ColorPrint: 3/8"" H x 1-3/8"" W","Individually polybagged / 27 lbs. per case of 200
Run Charge: Level 3",Individually polybagged,Individually polybagged / 27 lbs. per case of 200,,, Level 3,250,625,1000,1500,2000,2.10 ,1.95 ,1.80 ,1.64 ,1.49 
SM-3231,Inline,Calculator & Sticky Note Case,ABS Plastic,,"Hard cover memo case includes calculator, 8 assorted-color sticky arrows, 3 1-1/2"" x 2"" sticky notepads. Calculator features on/off power buttons. Includes solar power battery backup.","ABS Plastic. Hard cover memo case includes calculator, 8 assorted-color sticky arrows, 3 1-1/2"" x 2"" sticky notepads. Calculator features on/off power buttons. Includes solar power battery backup.","Black, Blue or Red",".812"" H x 5"" W x 4.188"" L","ColorPrint: 1-1/2"" H x 1-1/2"" W","Individually gift boxed / 21 lbs. per case of 50
Run Charge: Level 3",Individually gift boxed,Individually gift boxed / 21 lbs. per case of 50,,, Level 3,100,300,500,750,1000,5.07 ,4.67 ,4.28 ,3.88 ,3.49 
SM-3233,Inline,Sticky Note Organizer,UltraHyde,"US Patent #D599,407S","Includes two 80-page refillable, 3"" x 3"" sticky notepads, sticky note flags in 3 colors and two-sided four-year removable calendar.  Calendar size: 2-7/8"" H x 6-5/16"" W. US Patent #D599,407S","UltraHyde. Includes two 80-page refillable, 3"" x 3"" sticky notepads, sticky note flags in 3 colors and two-sided four-year removable calendar.  Calendar size: 2-7/8"" H x 6-5/16"" W. US Patent #D599,407S",Black,"3.5"" H x 6.75"" W","ColorPrint: 2"" H x 5"" W
Debossed: 2"" H x 5"" W","Bulk Packed / 31 lbs. per case of 50
Run Charge: Level 4",Bulk Packed,Bulk Packed / 31 lbs. per case of 50,,, Level 4,100,300,500,750,1000,4.03 ,3.74 ,3.46 ,3.17 ,2.89 
SM-3234,Inline,Work Rules Desk Organizer,Plastic,,"Includes 1-3/8"" x 1-13/16"" yellow sticky memo pad with 40 pages, sticky flags in 3 colors and paper clips. Case doubles as a ruler with both standard and metric measurements.","Plastic. Includes 1-3/8"" x 1-13/16"" yellow sticky memo pad with 40 pages, sticky flags in 3 colors and paper clips. Case doubles as a ruler with both standard and metric measurements.","Clear/Frosted, Solid Black, Solid White, Translucent Blue or Translucent Red",".312"" H x 5.938"" W x 2.375"" L","ColorPrint 1 color only: 1"" H x 3-1/2"" W
ColorBLAST: 1"" H x 3-1/2"" W (multi-color)","Bulk Packed / 22 lbs. per case of 200
Run Charge: Level 1",Bulk Packed,Bulk Packed / 22 lbs. per case of 200,,, Level 1,325,775,1250,1875,2500,1.42 ,1.29 ,1.16 ,1.02 ,0.89 
SM-3235,Inline,Lil Sticky Notes Book',Paper,,"Booklet includes sticky flags in 5 colors (25 flags per color) and 3"" x 1-3/4"" yellow sticky memo pad (70 pages). Non-refillable.","Paper. Booklet includes sticky flags in 5 colors (25 flags per color) and 3"" x 1-3/4"" yellow sticky memo pad (70 pages). Non-refillable.","Black, Green, Lime Green, Process Blue, Purple, Red, Royal Blue, White or Yellow","3.188"" H x 2.125"" W","ColorPrint: 1-1/2"" H x 2-1/2"" W","Bulk Packed / 33 lbs. per case of 400
Run Charge: Level 1",Bulk Packed,Bulk Packed / 33 lbs. per case of 400,,, Level 1,300,775,1250,1875,2500,1.40 ,1.27 ,1.14 ,1.02 ,0.89 
SM-3237,Inline,The Accent Sticky Flag Booklet,Paper,,Folding booklet includes sticky flags in 5 bright colors. Recyclable. Non-refillable.,Paper. Folding booklet includes sticky flags in 5 bright colors. Recyclable. Non-refillable.,"Black, Tan or White","2.125"" H x 3.25"" W","ColorPrint on front: 7/8"" H x 2-1/4"" W (default imprint area)
ColorPrint on back: 1-1/4"" H x 2-1/4"" W","Bulk Packed / 25 lbs. per case of 1000
Run Charge: Level 2",Bulk Packed,Bulk Packed / 25 lbs. per case of 1000,,, Level 2,500,1500,2500,3750,5000,0.75 ,0.69 ,0.62 ,0.56 ,0.49 
SM-3239,Inline,The Deluxe Accent Memo Booklet,Paper,,"Tri-fold case includes a 25-page count of 3"" x 3"" yellow sticky memo pad and sticky flags in 5 bright colors. Recyclable. Non-refillable.","Paper. Tri-fold case includes a 25-page count of 3"" x 3"" yellow sticky memo pad and sticky flags in 5 bright colors. Recyclable. Non-refillable.","Black, Tan or White","3.375"" H x 3.25"" W","ColorPrint on front center: 1/2"" H x 2-1/4"" W (default imprint area)
ColorPrint on front top: 1/2"" H x 1-3/4"" W","Bulk Packed / 22 lbs. per case of 400
Run Charge: Level 2",Bulk Packed,Bulk Packed / 22 lbs. per case of 400,,, Level 2,425,1200,2000,3000,4000,1.01 ,0.93 ,0.85 ,0.77 ,0.69 
SM-3242,Inline,Highlighter Strips Booklet,Polypropylene case,,"Booklet includes assorted-color highlighter sticky strips (1/4"" x 1-13/16""). Highlighter strips can be re-used without permanently marking or damaging a document. 120 strips included.","Polypropylene case. Booklet includes assorted-color highlighter sticky strips (1/4"" x 1-13/16""). Highlighter strips can be re-used without permanently marking or damaging a document. 120 strips included.",Clear,"3.375"" W x 2.375"" L","ColorPrint: 1-1/2"" H x 2-1/2"" W (1 color only)","Bulk Packed / 14 lbs. per case of 400
",Bulk Packed,Bulk Packed / 14 lbs. per case of 400,,,,200,475,750,1125,1500,1.97 ,1.83 ,1.68 ,1.54 ,1.39 
SM-3246,Inline,UltraHyde Memo Case,UltraHyde,"US Patent #D599,406S","Includes two, 80-page count, refillable 3"" x 3"" sticky notepads and a two-year reversible calendar. US Patent #D599,406S","UltraHyde. Includes two, 80-page count, refillable 3"" x 3"" sticky notepads and a two-year reversible calendar. US Patent #D599,406S",Black,"4.875"" H x 3.5"" W","ColorPrint: 2"" H x 2"" W
Debossed: 2"" H x 2"" W","Bulk Packed / 33 lbs. per case of 100
Run Charge: Level 4",Bulk Packed,Bulk Packed / 33 lbs. per case of 100,,, Level 4,150,450,750,1125,1500,2.76 ,2.62 ,2.48 ,2.33 ,2.19 
SM-3247,Inline,Deluxe Memo Pad Desk Caddy,UltraHyde,,"Includes two 80-page 3"" x 3"" sticky memo pads, sticky flags in 6 colors, 2-sided 4-year calendar, rubber bands, paper clips and slot for pen.  Calendar size: 3-1/16"" H x 6-5/8"" W.","UltraHyde. Includes two 80-page 3"" x 3"" sticky memo pads, sticky flags in 6 colors, 2-sided 4-year calendar, rubber bands, paper clips and slot for pen.  Calendar size: 3-1/16"" H x 6-5/8"" W.",Black,"4.5"" H x 7.25"" W","ColorPrint: 2"" H x 4"" W
Debossed: 2"" H x 4"" W","Bulk Packed / 38 lbs. per case of 50
Run Charge: Level 4",Bulk Packed,Bulk Packed / 38 lbs. per case of 50,,, Level 4,100,300,500,750,1000,4.90 ,4.80 ,4.70 ,4.59 ,4.49 
SM-3250,Inline,Piggy Bank,Plastic,,Desktop Bank.  Twist-open bottom to access stored change.,Plastic. Desktop Bank.  Twist-open bottom to access stored change.,"Clear, Transparent Black, Transparent Blue or Transparent Red","4"" H x 3.75"" W x 4.75"" L","ColorPrint per side: 1-1/4"" H x 2-1/4"" W","Bulk Packed / 18 lbs. per case of 60
Run Charge: Level 3",Bulk Packed,Bulk Packed / 18 lbs. per case of 60,,, Level 3,150,450,750,1125,1500,2.80 ,2.67 ,2.55 ,2.42 ,2.29 
SM-3259,Inline,Cube Memo Holder,Acrylic,,"Metal clip. Durable 1"" cube base with non-bendable wire-rope extension rod.","Acrylic. Metal clip. Durable 1"" cube base with non-bendable wire-rope extension rod.","Frosted White/Clear, Translucent Blue or Translucent Red","4.625"" H","ColorPrint per side: 3/4"" H x 3/4"" W","Individually polybagged / 15 lbs. per case of 250
Run Charge: Level 3",Individually polybagged,Individually polybagged / 15 lbs. per case of 250,,, Level 3,375,800,1250,1875,2500,1.25 ,1.14 ,1.02 ,0.91 ,0.79 
SM-3261,Inline,Deluxe Sticky Note Organizer,UltraHyde,,"Includes four 50-page 1-1/2"" x 1"" sticky notepads, sticky note flags in 8 colors and two-sided four-year removable calendar.  Calendar size: 3-1/2"" H x 4-5/8"" W.","UltraHyde. Includes four 50-page 1-1/2"" x 1"" sticky notepads, sticky note flags in 8 colors and two-sided four-year removable calendar.  Calendar size: 3-1/2"" H x 4-5/8"" W.",Black,"4.25"" H x 5"" W","ColorPrint: 2-1/2"" H x 3"" W
Debossed: 2-1/2"" H x 3"" W","Bulk Packed / 30 lbs. per case of 50
Run Charge: Level 4",Bulk Packed,Bulk Packed / 30 lbs. per case of 50,,, Level 4,100,300,500,750,1000,4.58 ,4.44 ,4.29 ,4.14 ,3.99 
SM-3263,Inline,Slimline Sticky Memo Holder,UltraHyde,,"Checkbook-sized. Includes two 1-1/2"" x 2-3/4"" sticky notepads with 25 pages, 25 sticky note flags in 5 colors and 4-7/8"" x 2-3/4"" white notepad on inside cover with 25 pages. Non-Refillable.","UltraHyde. Checkbook-sized. Includes two 1-1/2"" x 2-3/4"" sticky notepads with 25 pages, 25 sticky note flags in 5 colors and 4-7/8"" x 2-3/4"" white notepad on inside cover with 25 pages. Non-Refillable.",Black,"3.125"" H x 5.25"" W","ColorPrint: 1-3/4"" H x 3"" W (1 color only)
Debossed: 1-3/4"" H x 3"" W
ColorBLAST: 1-3/4"" H x 3"" W (multi-color)","Bulk Packed / 20 lbs. per case of 100
Run Charge: Level 1",Bulk Packed,Bulk Packed / 20 lbs. per case of 100,,, Level 1,200,475,750,1125,1500,1.90 ,1.70 ,1.50 ,1.29 ,1.09 
