Item #,Category,Name,Color,Description,Length,Height,Width,Diameter,Fabric/Material,Code,Min Qty,US Min Price,CDN Min Price,2nd Qty,US 2nd Price,CDN 2nd Price,3rd Qty,US 3rd Price,CDN 3rd Price,EQP Qty,US EQP Price,CDN EQP Price,Price Valid Through,Print,Embroider,Deboss/Emboss,Logomagic,Patch,Gemphoto/Heat Transfers,Laser Engrave,Personalization,Weight Per Carton Lbs,Quantity Per Box,Carton Dimensions
1081,"Women's, Clearance, Totes, Living Green, Essential Styles",Tempo Collapsible Shopper,Royal Blue,^This large capacity shopper collapses and zips into itself for easy storage and carrying convenience^Pouch dimensions: 7L 6H^Slash pocket^Dual decoration opportunity,19,15.5,6,0,210D Polyester,PQ2R,100,5.48,6.98,300,4.75,6.25,600,4.25,5.48,1000,3.98,5.25,12/31/2015 0:00:00,Front pocket center 4W 4H Front panel center 10W 9H Back panel center 10W 9H,,,,,Front pocket center 3W 3H,,,32,200,23 x 17 x 13
1082,"Women's, Clearance, Totes, Living Green, Essential Styles",Tempo Collapsible Shopper,Apple Green,^This large capacity shopper collapses and zips into itself for easy storage and carrying convenience^Pouch dimensions: 7L 6H^Slash pocket^Dual decoration opportunity,19,15.5,6,0,210D Polyester,R,100,2.98,3.73,,,,,,,100,2.98,3.73,12/31/2015 0:00:00,Front pocket center 4W 4H Front panel center 10W 9H Back panel center 10W 9H,,,,,Front pocket center 3W 3H,,,32,200,23 x 17 x 13
1094,"Totes, Gifts, Women's",Retro Mini Fashion Tote,Black/Silver,"^Mini tote with retro flair can be used as a small handbag or a gift with purchase^Front slash pocket^12.5"" handles^Phthalate free",12,8,4.5,0,Retro Leatherette,R,50,5.98,7.58,,,,,,,50,5.98,7.58,12/31/2015 0:00:00,Front pocket center 4W 3H,,,,,,,,36,72,23 x 17 x 13
1095,"Totes, Gifts, Women's",Retro Mini Fashion Tote,White/Gold,"^Mini tote with retro flair can be used as a small handbag or a gift with purchase^Front slash pocket^12.5"" handles^Phthalate free",12,8,4.5,0,Retro Leatherette,R,50,5.98,7.58,,,,,,,50,5.98,7.58,12/31/2015 0:00:00,Front pocket center 4W 3H,,,,,,,,36,72,23 x 17 x 13
1096,"Totes, Gifts, Women's",Retro Mini Fashion Tote,Santa Fe Red,"^Mini tote with retro flair can be used as a small handbag or a gift with purchase^Front slash pocket^12.5"" handles^Phthalate free",12,8,4.5,0,Retro Leatherette,R,50,5.98,7.58,,,,,,,50,5.98,7.58,12/31/2015 0:00:00,Front pocket center 4W 3H,,,,,,,,36,72,23 x 17 x 13
1097,"Totes, Gifts, Women's",Retro Mini Fashion Tote,Turquoise,"^Mini tote with retro flair can be used as a small handbag or a gift with purchase^Front slash pocket^12.5"" handles^Phthalate free",12,8,4.5,0,Retro Leatherette,R,50,5.98,7.58,,,,,,,50,5.98,7.58,12/31/2015 0:00:00,Front pocket center 4W 3H,,,,,,,,36,72,23 x 17 x 13
1098,"Totes, Gifts, Women's",Retro Mini Fashion Tote,Pacific Blue,"^Mini tote with retro flair can be used as a small handbag or a gift with purchase^Front slash pocket^12.5"" handles^Phthalate free",12,8,4.5,0,Retro Leatherette,R,50,5.98,7.58,,,,,,,50,5.98,7.58,12/31/2015 0:00:00,Front pocket center 4W 3H,,,,,,,,36,72,23 x 17 x 13
1099,"Totes, Gifts, Women's",Retro Mini Fashion Tote,Kelly Green,"^Mini tote with retro flair can be used as a small handbag or a gift with purchase^Front slash pocket^12.5"" handles^Phthalate free",12,8,4.5,0,Retro Leatherette,R,50,5.98,7.58,,,,,,,50,5.98,7.58,12/31/2015 0:00:00,Front pocket center 4W 3H,,,,,,,,36,72,23 x 17 x 13
1100,"Women's, Kid-friendly, Totes",Select Zippered Tote,Black,"^Get your brand noticed with this stylish and functional tote^Zippered main compartment provides ample storage capacity^Front pocket with pen loop (pen not included)^Mesh pockets for water bottles (water bottle not included) and other easy to reach items^29.5"" shoulder straps^Back panel of tote is black",20,14,4,0,600D Polyester,PQ2R,100,6.98,8.75,300,5.98,7.48,600,5.25,6.75,1000,4.98,6.25,12/31/2015 0:00:00,Front pocket center 7W 6H Back panel center 12W 8H,"Front pocket center 5"" dia. Back panel center 5"" dia.",,,,,,,28,60,24 x 16 x 11
11000,"New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Stylus with Clip,Black/Gold,"^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Metal pocket clip for easy storage^Aluminum or glossy paint finish^Chrome or gold accents",0,4.7,0,0.275,Brass barrel,PQSS,50,8.25,11.75,100,6.98,9.98,300,5.75,8.25,1000,5.48,7.98,12/31/2015 0:00:00,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,,,,,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,26,1000,16 x 15 x 6
11001,"New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Stylus with Clip,Ruby Red,"^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Metal pocket clip for easy storage^Aluminum or glossy paint finish^Chrome or gold accents",0,4.7,0,0.275,Brass barrel,PQSS,50,8.25,11.75,100,6.98,9.98,300,5.75,8.25,1000,5.48,7.98,12/31/2015 0:00:00,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,,,,,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,26,1000,16 x 15 x 6
11002,"New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Stylus with Clip,Sapphire Blue,"^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Metal pocket clip for easy storage^Aluminum or glossy paint finish^Chrome or gold accents",0,4.7,0,0.275,Brass barrel,PQSS,50,8.25,11.75,100,6.98,9.98,300,5.75,8.25,1000,5.48,7.98,12/31/2015 0:00:00,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,,,,,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,26,1000,16 x 15 x 6
11003,"New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Stylus with Clip,Brushed Silver,"^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Metal pocket clip for easy storage^Aluminum or glossy paint finish^Chrome or gold accents",0,4.7,0,0.275,Brass barrel,PQSS,50,8.25,11.75,100,6.98,9.98,300,5.75,8.25,1000,5.48,7.98,12/31/2015 0:00:00,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,,,,,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,26,1000,16 x 15 x 6
11004,"New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Stylus with Clip,Pearl White,"^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Metal pocket clip for easy storage^Aluminum or glossy paint finish^Chrome or gold accents",0,4.7,0,0.275,Brass barrel,PQSS,50,8.25,11.75,100,6.98,9.98,300,5.75,8.25,1000,5.48,7.98,12/31/2015 0:00:00,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,,,,,Clip right barrel center 2W 3/16H Clip left barrel center 2W 3/16H,,26,1000,16 x 15 x 6
1101,"Women's, Kid-friendly, Totes",Select Zippered Tote,Royal Blue,"^Get your brand noticed with this stylish and functional tote^Zippered main compartment provides ample storage capacity^Front pocket with pen loop (pen not included)^Mesh pockets for water bottles (water bottle not included) and other easy to reach items^29.5"" shoulder straps^Back panel of tote is black",20,14,4,0,600D Polyester,PQ2R,100,6.98,8.75,300,5.98,7.48,600,5.25,6.75,1000,4.98,6.25,12/31/2015 0:00:00,Front pocket center 7W 6H Back panel center 12W 8H,"Front pocket center 5"" dia. Back panel center 5"" dia.",,,,,,,28,60,24 x 16 x 11
11010,"Women's, Writing Instruments, New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Combo Stylus with Retractable Pen,Black,"^Retractable pen and stylus combination for ultimate convenience^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Rugged hexagon barrel^Chrome accents^Black ballpoint ink cartridge",0,5.375,0,0.375,Brass barrel,PQSS,50,14.25,18.98,100,12.25,16.48,300,9.75,13.25,1000,9.48,12.75,12/31/2015 0:00:00,"Clip Right barrel center 1.75""W x 1/4""H Clip left barrel center 1.75""W x 1/4""H",,,,,,Clip right barrel center 1.5W .25H Clip left barrel center 1.5W .25H,,41,750,16 x 15 x 6
11011,"Women's, Writing Instruments, New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Combo Stylus with Retractable Pen,Silver,"^Retractable pen and stylus combination for ultimate convenience^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Rugged hexagon barrel^Chrome accents^Black ballpoint ink cartridge",0,5.375,0,0.375,Brass barrel,PQSS,50,14.25,18.98,100,12.25,16.48,300,9.75,13.25,1000,9.48,12.75,12/31/2015 0:00:00,"Clip Right barrel center 1.75""W x 1/4""H Clip left barrel center 1.75""W x 1/4""H",,,,,,Clip right barrel center 1.5W .25H Clip left barrel center 1.5W .25H,,41,750,16 x 15 x 6
11012,"Women's, Writing Instruments, New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Combo Stylus with Retractable Pen,White,"^Retractable pen and stylus combination for ultimate convenience^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Rugged hexagon barrel^Chrome accents^Black ballpoint ink cartridge",0,5.375,0,0.375,Brass barrel,PQSS,50,14.25,18.98,100,12.25,16.48,300,9.75,13.25,1000,9.48,12.75,12/31/2015 0:00:00,"Clip Right barrel center 1.75""W x 1/4""H Clip left barrel center 1.75""W x 1/4""H",,,,,,Clip right barrel center 1.5W .25H Clip left barrel center 1.5W .25H,,41,750,16 x 15 x 6
11013,"Women's, Writing Instruments, New Products, Technology, Brands, Essential Styles",Lynktec TruGlide Combo Stylus with Retractable Pen,Red,"^Retractable pen and stylus combination for ultimate convenience^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Rugged hexagon barrel^Chrome accents^Black ballpoint ink cartridge",0,5.375,0,0.375,Brass barrel,PQSS,50,14.25,18.98,100,12.25,16.48,300,9.75,13.25,1000,9.48,12.75,12/31/2015 0:00:00,"Clip Right barrel center 1.75""W x 1/4""H Clip left barrel center 1.75""W x 1/4""H",,,,,,Clip right barrel center 1.5W .25H Clip left barrel center 1.5W .25H,,41,750,16 x 15 x 6
1102,"Women's, Kid-friendly, Totes",Select Zippered Tote,Red,"^Get your brand noticed with this stylish and functional tote^Zippered main compartment provides ample storage capacity^Front pocket with pen loop (pen not included)^Mesh pockets for water bottles (water bottle not included) and other easy to reach items^29.5"" shoulder straps^Back panel of tote is black",20,14,4,0,600D Polyester,PQ2R,100,6.98,8.75,300,5.98,7.48,600,5.25,6.75,1000,4.98,6.25,12/31/2015 0:00:00,Front pocket center 7W 6H Back panel center 12W 8H,"Front pocket center 5"" dia. Back panel center 5"" dia.",,,,,,,28,60,24 x 16 x 11
11020,"Women's, Writing Instruments, New Products, Technology, Brands, Essential Styles",Lynktec TruGlide DUO Stylus Pen,Carbon,"^Ballpoint pen and stylus combination for ultimate convenience^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Metal pocket clip for easy storage^Aluminum finish with chrome accents^Premium black ballpoint ink cartridge^Lynktec box included",0,5.3,0,0.375,Brass barrel,PQSS,25,21.75,29.48,50,18.75,25.75,100,14.98,20.75,300,14.48,19.98,12/31/2015 0:00:00,Clip right barrel center 1.5W 3/16H Clip left barrel center 1.5W 3/16H,,,,,,Clip right barrel center 1.5W 3/16H Clip left barrel center 1.5W 3/16H,,19,170,23 x 17 x 6
11021,"Women's, Writing Instruments, New Products, Technology, Brands, Essential Styles",Lynktec TruGlide DUO Stylus Pen,Platinum,"^Ballpoint pen and stylus combination for ultimate convenience^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Metal pocket clip for easy storage^Aluminum finish with chrome accents^Premium black ballpoint ink cartridge^Lynktec box included",0,5.3,0,0.375,Brass barrel,PQSS,25,21.75,29.48,50,18.75,25.75,100,14.98,20.75,300,14.48,19.98,12/31/2015 0:00:00,Clip right barrel center 1.5W 3/16H Clip left barrel center 1.5W 3/16H,,,,,,Clip right barrel center 1.5W 3/16H Clip left barrel center 1.5W 3/16H,,19,170,23 x 17 x 6
11025,"Women's, Writing Instruments, New Products, Technology, Brands, Essential Styles",Lynktec TruGlide DUO Stylus Pen with Laser & Flashlight,Black,"^Multi-functional stylus that features a ballpoint pen, stylus, and laser pointer and flashlight.^Premium patented conductive fiber tip^Durable, accurate, smooth writing stylus^Premium black ballpoint ink cartridge^Metal pocket clip for easy storage^Matte finish with chrome accents^Lynktec box included",0,5.375,0,0.5,Brass barrel,PQSS,25,35.98,46.75,50,30.98,40.48,100,24.98,32.75,300,23.98,31.48,12/31/2015 0:00:00,Clip right lower barrel center 1W .25H Clip center lower barrel center .5W .25H,,,,,,Clip right lower barrel center 1W .25H Clip center lower barrel center .5W .25H,,26,165,23 x 17 x 6
1103,"Women's, Kid-friendly, Totes",Select Zippered Tote,Purple,"^Get your brand noticed with this stylish and functional tote^Zippered main compartment provides ample storage capacity^Front pocket with pen loop (pen not included)^Mesh pockets for water bottles (water bottle not included) and other easy to reach items^29.5"" shoulder straps^Back panel of tote is black",20,14,4,0,600D Polyester,PQ2R,100,6.98,8.75,300,5.98,7.48,600,5.25,6.75,1000,4.98,6.25,12/31/2015 0:00:00,Front pocket center 7W 6H Back panel center 12W 8H,"Front pocket center 5"" dia. Back panel center 5"" dia.",,,,,,,28,60,24 x 16 x 11
11030,"New Products, Technology, Brands, Essential Styles",Lynktec Apex Fine Point Active Stylus,Titanium,"^Features unique active circuitry to deliver an ultra-precise 2mm tip, giving a realistic pen-to-paper writing experience^Hardened, conductive, replaceable rubber nib^Metal pocket clip for easy storage^Works with any app, no BluetoothÂ® required^Press button to power on and off^Powered by a standard AAA battery (included)^Compatible with iPad 2/3/4, iPad Air, iPad Mini, and many Android devices^Chrome accents^Lynktec box included",0,5.5,0,0.625,Brass barrel,PQSS,12,75.25,95.48,25,64.48,81.98,50,51.98,65.98,300,49.98,63.48,12/31/2015 0:00:00,Clip right barrel center 1.25W .5H Clip left barrel center 1.25W .5H,,,,,,Clip right barrel center 1.25W .25H Clip left barrel center 1.25W .25H,,13,38,23 x 17 x 6
11031,"New Products, Technology, Brands, Essential Styles",Lynktec Apex Fine Point Active Stylus,Matte Black,"^Features unique active circuitry to deliver an ultra-precise 2mm tip, giving a realistic pen-to-paper writing experience^Hardened, conductive, replaceable rubber nib^Metal pocket clip for easy storage^Works with any app, no BluetoothÂ® required^Press button to power on and off^Powered by a standard AAA battery (included)^Compatible with iPad 2/3/4, iPad Air, iPad Mini, and many Android devices^Chrome accents^Lynktec box included",0,5.5,0,0.625,Brass barrel,PQSS,12,75.25,95.48,25,64.48,81.98,50,51.98,65.98,300,49.98,63.48,12/31/2015 0:00:00,Clip right barrel center 1.25W .5H Clip left barrel center 1.25W .5H,,,,,,Clip right barrel center 1.25W .25H Clip left barrel center 1.25W .25H,,13,38,23 x 17 x 6
11035,"New Products, Technology, Brands, Essential Styles",Lynktec Rechargeable Apex Fine Point Active Stylus,Satin Chrome,"^Features unique active circuitry to deliver an ultra-precise 2mm tip, giving a realistic pen-to-paper writing experience ^Integrated lithium ion battery can be recharged over 500 times using the included micro-USB to USB cable^Press button to power on and off ^Metal pocket clip for easy storage ^Hardened, conductive, replaceable rubber nib^Works with any app, no BluetoothÂ® required ^Compatible with iPad 2/3/4, iPad Air, iPad Mini, and many Android devices^Lynktec box included",0,5.8,0,0.625,Brass barrel,PQSS,6,105.25,138.75,25,90.25,119.48,50,72.75,96.75,100,69.98,93.25,12/31/2015 0:00:00,Clip right barrel center 1.25W .5H Clip left barrel center 1.25W .5H,,,,,,Clip right barrel center 1.25W .25H Clip left barrel center 1.25W .25H,,13,38,23 x 17 x 6
1104,"Women's, Kid-friendly, Totes",Select Zippered Tote,Apple Green,"^Get your brand noticed with this stylish and functional tote^Zippered main compartment provides ample storage capacity^Front pocket with pen loop (pen not included)^Mesh pockets for water bottles (water bottle not included) and other easy to reach items^29.5"" shoulder straps^Back panel of tote is black",20,14,4,0,600D Polyester,PQ2R,100,6.98,8.75,300,5.98,7.48,600,5.25,6.75,1000,4.98,6.25,12/31/2015 0:00:00,Front pocket center 7W 6H Back panel center 12W 8H,"Front pocket center 5"" dia. Back panel center 5"" dia.",,,,,,,28,60,24 x 16 x 11
1108,"Women's, Kid-friendly, Totes",Select Zippered Tote,Peony Pink,"^Get your brand noticed with this stylish and functional tote^Zippered main compartment provides ample storage capacity^Front pocket with pen loop (pen not included)^Mesh pockets for water bottles (water bottle not included) and other easy to reach items^29.5"" shoulder straps^Back panel of tote is black",20,14,4,0,Polyester,PQ2R,100,6.98,8.75,300,5.98,7.48,600,5.25,6.75,1000,4.98,6.25,12/31/2015 0:00:00,Front pocket center 7W 6H Back panel center 12W 8H,"Front pocket center 5"" dia. Back panel center 5"" dia.",,,,,,,28,60,24 x 16 x 11
1109,"Women's, Kid-friendly, Totes",Select Zippered Tote,Turquoise,"^Get your brand noticed with this stylish and functional tote^Zippered main compartment provides ample storage capacity^Front pocket with pen loop (pen not included)^Mesh pockets for water bottles (water bottle not included) and other easy to reach items^29.5"" shoulder straps^Back panel of tote is black",20,14,4,0,Polyester,PQ2R,100,6.98,8.75,300,5.98,7.48,600,5.25,6.75,1000,4.98,6.25,12/31/2015 0:00:00,Front pocket center 7W 6H Back panel center 12W 8H,"Front pocket center 5"" dia. Back panel center 5"" dia.",,,,,,,28,60,24 x 16 x 11
1110,"Totes, Kid-friendly, Essential Styles",Economy Tote,Black,"^Value-priced, sturdy cotton tote^26"" shoulder straps",14.5,14,1,0,5 oz. cotton canvas,PQ2R,150,3.75,5.25,300,3.25,4.48,600,2.75,3.75,1000,2.48,3.48,12/31/2015 0:00:00,Front panel center 8W 10H Back panel center 8W 10H,Front panel center 5.5W 5.5H Back panel center 5.5W 5.5H,Add-a-patch center 2.5W 1.125H,,,,,,32,200,19 x 15 x 16
1111,"Totes, Kid-friendly, Essential Styles",Economy Tote,Navy Blue,"^Value-priced, sturdy cotton tote^26"" shoulder straps",14.5,14,1,0,6 oz canvas,PQ2R,150,3.75,5.25,300,3.25,4.48,600,2.75,3.75,1000,2.48,3.48,12/31/2015 0:00:00,Front panel center 8W 10H Back panel center 8W 10H,Front panel center 5.5W 5.5H Back panel center 5.5W 5.5H,Add-a-patch center 2.5W 1.125H,,,,,,32,200,19 x 15 x 16
1112,"Totes, Kid-friendly, Essential Styles",Economy Tote,Red,"^Value-priced, sturdy cotton tote^26"" shoulder straps",14.5,14,1,0,7 Oz. Cotton Canvas,PQ2R,150,3.75,5.25,300,3.25,4.48,600,2.75,3.75,1000,2.48,3.48,12/31/2015 0:00:00,Front panel center 8W 10H Back panel center 8W 10H,Front panel center 5.5W 5.5H Back panel center 5.5W 5.5H,Add-a-patch center 2.5W 1.125H,,,,,,32,200,19 x 15 x 16
1113,"Totes, Kid-friendly, Essential Styles",Economy Tote,Apple Green,"^Value-priced, sturdy cotton tote^26"" shoulder straps",14.5,14,1,0,8 oz cotton canvas,PQ2R,150,3.75,5.25,300,3.25,4.48,600,2.75,3.75,1000,2.48,3.48,12/31/2015 0:00:00,Front panel center 8W 10H Back panel center 8W 10H,Front panel center 5.5W 5.5H Back panel center 5.5W 5.5H,Add-a-patch center 2.5W 1.125H,,,,,,32,200,19 x 15 x 16
1120,Totes,Clear Event Tote,Clear,"^Ensure convenient entry through security gates next time you attend a sporting event, concert or festival^ Durable clear PVC^Large, easy-access main compartment^ Meets current requirements for entry into professional sporting events (e.g. NFL & PGA)^Maximum weight limit is 11lbs",12,12,6,0,Clear PVC,PQ2R,100,5.98,8.25,300,5.25,7.25,600,4.48,6.48,1000,4.35,5.98,12/31/2015 0:00:00,Front panel center 4W 4H NFL MAX IMAGE AREA: cannot exceed 3.4W 4.5H,,,,,,,,23,75,24 x 16 x 11
115,"Totes, Kid-friendly, Living Green",Economy Tote,Natural,"^Value priced sturdy cotton tote^Open Top^26"" shoulder straps^Self-handles^This product is kid-friendly/CPSIA compliant",14.5,14,1,0,5 oz. cotton canvas,PQ2R,150,3.25,4.48,300,2.75,3.98,600,2.48,3.48,1000,2.38,3.25,12/31/2015 0:00:00,(1) Front center 10W 10H (2) Back center 10W 10H,"(1) Front panel center 5.5"" dia. Back panel center 5.5"" dia.",,,,(1) Front panel center 7W 8H,,,32,200,19 x 15 x 16
1182,"Women's, Totes, Kid-friendly, Living Green, Essential Styles",Latitudes Foldaway Shopper,Black,"^Pack it in with this fun, unique tote that's perfect for the grocery store or farmers market^Tote folds into a carrying pouch with drawstring ^18"" shoulder straps^PVC free^When folded, pouch dimensions approx. 5""H x 3.5"" dia.^This product is kid-friendly/CPSIA compliant^Back panel of each bag matches primary bag color",16,15,0,0,210D Polyester,PQ2R,150,4.25,5.48,300,3.75,4.75,600,3.25,4.25,1000,2.98,3.75,12/31/2015 0:00:00,Front panel upper center 8.5W 7H Back panel upper center 8.5W 7H Front lower right panel center 2.5W .75H Front panel center 7W 6H,"Front panel center 5.5"" dia.",,,,Front panel upper center 8W 7H Back panel upper center 8W 7H,,,29,225,23 x 17 x 13
