ItemNo,,ItemName,Material,CatalogDescription,ColorHeading,ColorList,Category,SubCategory,CatalogSize,PackagingDetails,CatalogWeight,Disclaimers,Standard Master Carton Width,Standard Master Carton Length,Standard Master Carton Depth,Standard Master Carton Quantity,Standard Master Carton Actual Weight,PriceQtyCol1,PriceQtyCol2,PriceQtyCol3,PriceQtyCol4,PriceQtyCol5,PriceUSCol1,PriceUSCol2,PriceUSCol3,PriceUSCol4,PriceUSCol5,PriceHeadingType,PriceHeadingUS,Icon_Brand_Name,Photo_Feature,ItemNew,NewCatText,CategoryImageName,SampleTagColors,RecPenCatText,RecPenPriceCol1,RecPenPriceCol2,RecPenPriceCol3,RecPenPriceCol4,RecPenPriceCol5,RecPenPriceCDNCol1,RecPenPriceCDNCol2,RecPenPriceCDNCol3,RecPenPriceCDNCol4,RecPenPriceCDNCol5,CatalogDescPackaging,RecPenFilename,BrandImageName,GroupSubName,GroupName,CategoryShopping,SubCategoryShopping
0011-28,INLINE,elleven™ Traverse RFID Passport Wallet,Vinyl,"Get down to business while travelling, with the elleven™ Traverse Collection. RFID Technology encases your belongings to protect against identify theft. Features a quick storage passport slot, mesh ID holder, elastic pen holder, slotted pocket for boarding pass, and additional slots for credit cards.",Color:,Black,Travel Gifts,Travel Wallets (Travel Gifts),"6.25"" H x 5"" W x 1"" L",1-piece premium gift box,,,16.53543,15.15748,7.67717,48,16.28,36,100,150,250,400,13.52,12.97,12.42,11.87,10.98,5R,US$,Elleven.eps,0011-28BK_D-1.eps,,,LuggageTravelGifts_L.eps,Color: Black,,,,,,,,,,,,"Get down to business while travelling, with the elleven™ Traverse Collection. RFID Technology encases your belongings to protect against identify theft. Features a quick storage passport slot, mesh ID holder, elastic pen holder, slotted pocket for boarding pass, and additional slots for credit cards. 1-piece premium gift box",,Elleven.eps,elleven™ Traverse RFID Passport Wallet,elleven™ Traverse RFID Passport Wallet,,
0011-29,INLINE,elleven™ Wheeled Security-Friendly Compu-Backpack,Dot Dobby Nylon with Scuba,"Main zippered compartment includes TSA-friendly laptop compartment, expediting airport security. Holds most 17"" laptops. File dividers and earbud port access. Zippered media pocket. Front zippered pocket with deluxe organization includes techtrap. Padded valuables pocket. Three side zippered pockets. Hideaway backpack straps and comfort carry handle. Telescoping handle and inline wheels. Exterior TSA hangtag for guideline information. Free run charges for embroidery up to 7500 stitches until 12/31/15.",Color:,Black,Business Cases,Wheeled Business Cases (Business Cases),"18"" H x 12"" W x 6.5"" L",Bulk,,,27.55906,14.17323,21.25984,4,23.76,6,20,40,60,100,159.88,153.38,146.88,140.38,129.98,5R,US$,Elleven.eps,0011-29BK_D-1.eps,,,TechBags_R.eps,Color: Black,,,,,,,,,,,,"Main zippered compartment includes TSA-friendly laptop compartment, expediting airport security. Holds most 17"" laptops. File dividers and earbud port access. Zippered media pocket. Front zippered pocket with deluxe organization includes techtrap. Padded valuables pocket. Three side zippered pockets. Hideaway backpack straps and comfort carry handle. Telescoping handle and inline wheels. Exterior TSA hangtag for guideline information. Free run charges for embroidery up to 7500 stitches until 12/31/15. Bulk",,Elleven.eps,elleven™ Wheeled Security-Friendly Compu-Backpack,elleven™ Wheeled Security-Friendly Compu-Backpack,Bags,Tech Bags
0011-30,INLINE,elleven™ Vapor Zippered Padfolio,Textured UltraHyde,"Zippered closure. Features a removable techtrap organization unit with easel stand function. Techtrap holds most tablet models including all versions of the iPad including the iPad Air. Includes a screen cleaner, business card pockets and elastic pen loops. 8.5"" x 11"" writing pad.",Color:,Black,Stationery,Padfolios & Writing Pads (Stationery),"13.5"" H x 11.25"" W x 1.5"" L",Bulk,,,15.35433,11.81102,14.96063,12,25.52,12,50,100,150,200,43.03,41.28,39.53,37.78,34.98,5R,US$,Elleven.eps,0011-30BK_D-1.eps,Yes,New,TechStationery_R.eps,Color: Black,,,,,,,,,,,,"Zippered closure. Features a removable techtrap organization unit with easel stand function. Techtrap holds most tablet models including all versions of the iPad including the iPad Air. Includes a screen cleaner, business card pockets and elastic pen loops. 8.5"" x 11"" writing pad. Bulk",,Elleven.eps,elleven™ Vapor Zippered Padfolio,elleven™ Vapor Zippered Padfolio,Mobile Tech,Tech Stationery & Cases
0011-31,INLINE,elleven™ Drive Checkpoint-Friendly Compu-Messenger,Ripstop Nylon and 600d PolyCanvas,"This exclusive design has a designated laptop-only section that unfolds to lay flat on the X-ray belt to increase your speed, convenience and security. Side entry laptop compartment holds up to 17"" laptops. Open main compartment with buckled flap. Zippered front pocket accesses earbud port and holds the removable techtrap elastic organizer panel. Deluxe organization, zippered bottom pocket and a nylex lined zippered iPad pocket are located under the protective flap. One zippered and one airmesh side pockets. This sporty bag also includes additional adjustable straps on the bottom for extra storage and stability. Carry handle. Adjustable shoulder strap features the Adrenaline series unique ventilation patterned shoulder pad. Back panel design to slip over trolley handles. Exterior TSA hangtag for guideline information. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15.",Color:,Black,Business Cases,Compu-Messenger Bags (Business Cases),"13"" H x 18.5"" W x 6.5"" L",Bulk,,,22.44094,18.11024,22.83465,12,27.5,12,50,100,150,200,66.4,63.7,61,58.3,53.98,5R,US$,Elleven.eps,0011-31BK_D-1.eps,,,TechBags_L.eps,Color: Black,,,,,,,,,,,,"This exclusive design has a designated laptop-only section that unfolds to lay flat on the X-ray belt to increase your speed, convenience and security. Side entry laptop compartment holds up to 17"" laptops. Open main compartment with buckled flap. Zippered front pocket accesses earbud port and holds the removable techtrap elastic organizer panel. Deluxe organization, zippered bottom pocket and a nylex lined zippered iPad pocket are located under the protective flap. One zippered and one airmesh side pockets. This sporty bag also includes additional adjustable straps on the bottom for extra storage and stability. Carry handle. Adjustable shoulder strap features the Adrenaline series unique ventilation patterned shoulder pad. Back panel design to slip over trolley handles. Exterior TSA hangtag for guideline information. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15. Bulk",,Elleven.eps,elleven™ Drive Checkpoint-Friendly Compu-Messenger,elleven™ Drive Checkpoint-Friendly Compu-Messenger,Bags,Tech Bags
0011-32,INLINE,elleven™ Transit Tablet Messenger,840d Linear Ripstop with 420d PolyCanvas accents,"This exclusive tablet messenger makes your daily commute or travel easier and keeps your gadgets more secure. The messenger is large enough to fit any tablet in the main compartment in addition to any folders, magazines, books or catalogs you may have. However, the front zippered pocket under the flap has a specially designed techtrap to hold your 10.1"" tablet, including iPad. The techtrap is attached by Velcro and slides out so that you can fasten it to the bag using the stand that kicks out so that you can use your tablet without having to completely remove it from the bag. Techtrap is removable so you can grab it and go without having to take the entire bag. Back panel designed to slip over trolley handles. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15.",Color:,Black,Business Cases,Compu-Messenger Bags (Business Cases),"10.25"" H x 11.5"" W x 2.25"" L",Bulk,,,23.22835,12.99213,18.89764,24,31.02,12,50,100,150,200,43.03,41.28,39.53,37.78,34.98,5R,US$,Elleven.eps,,,,TechBags_R.eps,Color: Black,,,,,,,,,,,,"This exclusive tablet messenger makes your daily commute or travel easier and keeps your gadgets more secure. The messenger is large enough to fit any tablet in the main compartment in addition to any folders, magazines, books or catalogs you may have. However, the front zippered pocket under the flap has a specially designed techtrap to hold your 10.1"" tablet, including iPad. The techtrap is attached by Velcro and slides out so that you can fasten it to the bag using the stand that kicks out so that you can use your tablet without having to completely remove it from the bag. Techtrap is removable so you can grab it and go without having to take the entire bag. Back panel designed to slip over trolley handles. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15. Bulk",,Elleven.eps,elleven™ Transit Tablet Messenger,elleven™ Transit Tablet Messenger,Bags,Tech Bags
0011-35,INLINE,elleven™ Drive Checkpoint Friendly Compu-Backpack,Ripstop Nylon and 600d PolyCanvas,"This exclusive design has a designated laptop-only section that unfolds to lay flat on the X-ray belt to increase your speed through security. Side entry laptop compartment holds up to a 17"" computer. Spacious main zippered compartment includes multiple slash pockets, a nylex-lined dedicated iPad/tablet pocket and removable sport techtrap organizer. Zippered top media pocket is nylex-lined with earbud port. Front zippered pocket with deluxe organization and key fob. Two large zippered side pockets; airmesh side pocket and large zippered bottom front pocket. This sporty bag also includes a chest strap and multiple adjustable straps on the sides and bottom for extra storage and stability. Padded back with the Drive series unique ventilation pattern and compression shoulder straps for extra comfort. Back panel design to slip over trolley handles. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15.",Color:,Black,Backpacks,Compu-Backpacks (Backpacks),"18"" H x 13.5"" W x 8"" L",Bulk,,,22.83465,16.14173,20.86614,12,32.56,12,50,100,150,200,72.55,69.6,66.65,63.7,58.98,5R,US$,Elleven.eps,0011-35BK_D-5.eps,,,TechBags_L.eps,Color: Black,,,,,,,,,,,,"This exclusive design has a designated laptop-only section that unfolds to lay flat on the X-ray belt to increase your speed through security. Side entry laptop compartment holds up to a 17"" computer. Spacious main zippered compartment includes multiple slash pockets, a nylex-lined dedicated iPad/tablet pocket and removable sport techtrap organizer. Zippered top media pocket is nylex-lined with earbud port. Front zippered pocket with deluxe organization and key fob. Two large zippered side pockets; airmesh side pocket and large zippered bottom front pocket. This sporty bag also includes a chest strap and multiple adjustable straps on the sides and bottom for extra storage and stability. Padded back with the Drive series unique ventilation pattern and compression shoulder straps for extra comfort. Back panel design to slip over trolley handles. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15. Bulk",,Elleven.eps,elleven™ Drive Checkpoint Friendly Compu-Backpack,elleven™ Drive Checkpoint Friendly Compu-Backpack,Bags,Tech Bags
0011-36,INLINE,elleven™ Motion Compu-Daypack,600d Polyester and 420d Ripstop Nylon,"This exclusive design packs all the organization you could ever need in a compact design without sacrificing functionality and comfort. Features a padded laptop compartment, lined pocket for your iPad/tablet or eReader, dedicated pockets for things such as cords in addition to the large main compartment. Side grab handle makes getting in and out of a car or off a plane easier. Quick access pocket for your phone, passport or other valuables. Padded back and straps for extra comfort. Back panel designed to slip over trolley handles. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15.",Color:,Black,Backpacks,Compu-Backpacks (Backpacks),"17.5"" H x 12.5"" W x 5.25"" L",Bulk,,,18.11024,15.74803,19.68504,12,19.8,12,50,100,150,200,49.18,47.18,45.18,43.18,39.98,5R,US$,Elleven.eps,0011-36BK_D-2.eps,,,TechBags_R.eps,Color: Black,,,,,,,,,,,,"This exclusive design packs all the organization you could ever need in a compact design without sacrificing functionality and comfort. Features a padded laptop compartment, lined pocket for your iPad/tablet or eReader, dedicated pockets for things such as cords in addition to the large main compartment. Side grab handle makes getting in and out of a car or off a plane easier. Quick access pocket for your phone, passport or other valuables. Padded back and straps for extra comfort. Back panel designed to slip over trolley handles. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15. Bulk",,Elleven.eps,elleven™ Motion Compu-Daypack,elleven™ Motion Compu-Daypack,Bags,Tech Bags
0011-39,INLINE,"elleven™ Drive 24"" Duffel",Ripstop Nylon and 600d PolyCanvas,"Zippered main compartment with U-shaped opening. Front zippered pocket with earbud port includes removable sport techtrap organizer. Large ventilated side pocket holds shoes or damp garments. Additional side zippered accessory pocket with exterior elastic shock cord for maximum storage. This sporty bag also includes an open insulated bottle pocket. Handles made of durable webbing with comfortable handle wrap; side grab handle. Detachable, adjustable shoulder strap features the Drive series unique ventilation patterned shoulder pad. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15.",Colors:,Black or Royal,Duffels,Sport Duffels (Duffels),"12"" H x 24"" W x 10.5"" L",Bulk,,,22.83465,13.38583,20.07874,12,30.36,12,50,100,150,200,57.78,55.43,53.08,50.75,46.98,5R,US$,Elleven.eps,0011-39BK_D-8.eps,,,BackpacksDuffels_L.eps,Colors: Black or Royal,,,,,,,,,,,,"Zippered main compartment with U-shaped opening. Front zippered pocket with earbud port includes removable sport techtrap organizer. Large ventilated side pocket holds shoes or damp garments. Additional side zippered accessory pocket with exterior elastic shock cord for maximum storage. This sporty bag also includes an open insulated bottle pocket. Handles made of durable webbing with comfortable handle wrap; side grab handle. Detachable, adjustable shoulder strap features the Drive series unique ventilation patterned shoulder pad. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15. Bulk",,Elleven.eps,"elleven™ Drive 24"" Duffel","elleven™ Drive 24"" Duffel",Bags,Backpacks & Duffels
0011-41,INLINE,elleven™ Utility Kit,Dobby Nylon,Zippered main compartment with U-shaped opening. Front velcro pocket. Two side zippered pockets. Elastic shock cord on exterior side pocket for additional storage. Interior includes zippered mesh pocket and deluxe organization in the form of multiple pockets and elastic dividers. Metal hook hanging feature for convenience. Top grab handle for easy carry. Signature elleven™ lining and hardware.,Color:,Black,Travel & Golf,Utility Kits (Travel & Golf),"9"" H x 4.5"" W x 12"" L",Bulk,,,19.48819,16.14173,18.50394,48,36.08,24,100,150,250,400,22.12,21.22,20.32,19.42,17.98,5R,US$,Elleven.eps,0011-41BK_D-2.eps,,,LuggageTravelGifts_R.eps,Color: Black,,,,,,,,,,,,Zippered main compartment with U-shaped opening. Front velcro pocket. Two side zippered pockets. Elastic shock cord on exterior side pocket for additional storage. Interior includes zippered mesh pocket and deluxe organization in the form of multiple pockets and elastic dividers. Metal hook hanging feature for convenience. Top grab handle for easy carry. Signature elleven™ lining and hardware. Bulk,,Elleven.eps,elleven™ Utility Kit,elleven™ Utility Kit,"Drinkware, Home & Travel",Luggage & Travel Gifts
0011-42,INLINE,elleven™ Vapor Checkpoint-Friendly Attache,600d PolyCanvas and Honeycomb Ripstop Nylon Accents,"This exclusive design has a designated TSA-friendly laptop-only section that unfolds to lay flat on the X-ray belt to increase your speed, convenience and security. Computer compartment also includes zippered pocket and multiple mesh pockets. Spacious main zippered compartment includes multiple slash pockets, a dedicated padded iPad/tablet pocket, keyboard pocket, mouse pocket and removable large techtrap for all your organization needs. Includes a separate top lined pocket for an iPad Mini. Front zippered pocket with deluxe organization and included screen cleaner for your tablet or smartphone. Side zippered pocket has a pass-through so you can store your mobile power inside and charge your phone through the side pocket. Padded removable and adjustable shoulder strap. Back panel designed to slip over trolley handles. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15.",Color:,Black,Business Cases,Compu-Cases (Business Cases),"12.5"" H x 17"" W x 5.5"" L",Bulk,,,20.07874,15.74803,24.01575,10,31.02,12,50,100,150,200,86.08,82.58,79.08,75.58,69.98,5R,US$,Elleven.eps,0011-42BK_D-2.eps,,,TechBags_R.eps,Color: Black,,,,,,,,,,,,"This exclusive design has a designated TSA-friendly laptop-only section that unfolds to lay flat on the X-ray belt to increase your speed, convenience and security. Computer compartment also includes zippered pocket and multiple mesh pockets. Spacious main zippered compartment includes multiple slash pockets, a dedicated padded iPad/tablet pocket, keyboard pocket, mouse pocket and removable large techtrap for all your organization needs. Includes a separate top lined pocket for an iPad Mini. Front zippered pocket with deluxe organization and included screen cleaner for your tablet or smartphone. Side zippered pocket has a pass-through so you can store your mobile power inside and charge your phone through the side pocket. Padded removable and adjustable shoulder strap. Back panel designed to slip over trolley handles. Signature elleven™ lining and hardware. Free run charges for embroidery up to 7500 stitches until 12/31/15. Bulk",,Elleven.eps,elleven™ Vapor Checkpoint-Friendly Attache,elleven™ Vapor Checkpoint-Friendly Attache,Bags,Tech Bags
0011-45,INLINE,elleven™ Checkpoint-Friendly Compu-Backpack,Dobby Nylon,"This exclusive design has a designated laptop-only section that unfolds to lay flat on the X-ray belt to increase your speed, convenience and security. Side entry compartment holds up to 17"" laptop. Main zippered compartment with file divider, interior side pockets and removable techtrap elastic organizer panel. Zippered media pocket accesses ear bud port. Front zippered pocket with deluxe organization and key fob. Front lower & hidden pockets for valuables. Three side roomy zippered pockets. Yoke-style handle. Padded back and shoulder straps for comfort. Back panel designed to slip over trolley handles. Free run charges for embroidery up to 7500 stitches until 12/31/15.",Color:,Black,Backpacks,Compu-Backpacks (Backpacks),"19"" H x 16.5"" W x 9"" L",Bulk,,,15.35,19.69,12.6,6,17.64,6,20,40,60,100,75.58,72.43,69.28,66.13,62.98,5R,US$,Elleven.eps,0011-45BK_D-3.eps,,,TechBags_L.eps,Color: Black,,,,,,,,,,,,"This exclusive design has a designated laptop-only section that unfolds to lay flat on the X-ray belt to increase your speed, convenience and security. Side entry compartment holds up to 17"" laptop. Main zippered compartment with file divider, interior side pockets and removable techtrap elastic organizer panel. Zippered media pocket accesses ear bud port. Front zippered pocket with deluxe organization and key fob. Front lower & hidden pockets for valuables. Three side roomy zippered pockets. Yoke-style handle. Padded back and shoulder straps for comfort. Back panel designed to slip over trolley handles. Free run charges for embroidery up to 7500 stitches until 12/31/15. Bulk",,Elleven.eps,elleven™ Checkpoint-Friendly Compu-Backpack,elleven™ Checkpoint-Friendly Compu-Backpack,Bags,Tech Bags
